NAMELSAD,"Overall Disadvantaged (0 = no, 1 = yes)",Total Disadvantaged Score,Stops Per 1000 People,Stops Percentile Score,>30 Min Commute Percent,Commute Percentile Score,Percentage of occupied housing units with no vehicles available,No Vehicle Percentile Score,Percentage of the population 65 years and older,Age Percentile Score,Percentage of the population without health insurance coverage,Insurance Percentile Score,Percentage of the population with a disability,Disability Percentile Score,% Of Homes Built Before 1960 (Lead Paint),Lead Paint Percentile Score,EJ Index for Diesel Particulate Matter (2017),Diesel Particulate Matter Percentile Score,EJ Index for 2017 Air Toxics Cancer Risk,Air Toxic Cancer Percentile Score,EJ Index for Traffic Proximity,Traffic Proximity Percentile Score,EJ Index for Particulate Matter 2.5,Particulate Matter 2.5 Percentile Score,EJ Index for Ozone,Ozone Level Percentile Score,Percentage of population over age 25 without a high school diploma (including GED),High School Education Percentile Score,Percentage of Occupied Housing Units not by Property Owner,Renter Percentile Score,Percentage of the labor force unemployed,Unemployment Percentile Score,Gini Index of income inequality (income distribution across a population),GINI Index Percentile Score,% Low Income,Low Income Percentile Score,Percentage of Persons Below 150% Poverty Estimate (Federal Poverty Level),Federal Poverty Percentile Score,"Percentage of housing cost burdened occupied housing units with annual income less than $75,000 (30%+ of incomespent on housing costs)",Housing Burden Percentile Score,Expected Annual Loss - Score - Composite,Expected Annual Loss Percentile Score,Percentage of limited English-speaking households,Linguistic Isolation Percentile Score
Census Tract 10,1,6,2.230784831,0.741573034,0.435,0.735955056,6.433479076,0.460674157,19.1036301,0.859550562,20.03650375,0.921348315,9.734333807,0.533707865,0.562148657,0.584269663,63.6611235,0.960674157,65.01561549,0.960674157,61.62938552,0.971910112,48.76171162,0.887640449,31.83056175,0.915730337,26.93014706,0.887640449,62.14865709,0.629213483,3.049070986,0.382022472,0.4955,0.808988764,0.48387751,0.915730337,34.8,0.904494382,46.3,0.926966292,51.62294196,0.808988764,32.10493442,0.994382022
Census Tract 2.01,1,5,5.323868678,0.224719101,0.475,0.859550562,14.87771739,0.775280899,15.88287489,0.786516854,7.500759186,0.573033708,14.48527179,0.870786517,0.616623711,0.651685393,37.20716284,0.730337079,37.20716284,0.730337079,36.81958822,0.820224719,33.33141671,0.724719101,12.40238761,0.601123596,16.94484761,0.786516854,44.58762887,0.404494382,3.43454455,0.43258427,0.484,0.752808989,0.247494686,0.488764045,15.6,0.45505618,31.1,0.511235955,29.68504122,0.382022472,4.6875,0.713483146
Census Tract 2.02,1,4,5.707762557,0.196629213,0.345,0.415730337,7.056229327,0.471910112,12.55707763,0.629213483,7.328767123,0.539325843,14.5890411,0.882022472,0.672351421,0.724719101,41.37031963,0.780898876,40.5260274,0.758426966,39.68173516,0.853932584,35.46027397,0.752808989,13.08652968,0.623595506,20.51358615,0.820224719,54.05684755,0.511235955,4.734631539,0.657303371,0.44,0.483146067,0.263242009,0.561797753,25.7,0.735955056,28.1,0.387640449,35.39352232,0.561797753,5.78831312,0.775280899
Census Tract 3.01,1,4,3.516564871,0.443820225,0.386,0.606741573,11.02423769,0.629213483,12.86322413,0.657303371,3.576084932,0.230337079,11.41739616,0.702247191,0.729586024,0.837078652,19.89866965,0.370786517,20.10812933,0.348314607,15.081097,0.325842697,15.91893572,0.280898876,9.425685623,0.438202247,7.52108716,0.58988764,31.0672237,0.213483146,1.058512202,0.078651685,0.4507,0.561797753,0.188861985,0.348314607,12.6,0.342696629,15.6,0.106741573,51.76738615,0.814606742,5.824863174,0.780898876
Census Tract 11.01,1,4,5.642885933,0.202247191,0.448,0.797752809,4.204204204,0.320224719,9.955663039,0.443820225,11.38177236,0.747191011,11.08777824,0.674157303,0.683768657,0.758426966,45.01549857,0.797752809,43.65139256,0.792134831,28.64622636,0.646067416,38.19496849,0.792134831,12.27695416,0.595505618,15.32258065,0.758426966,50.18656716,0.47752809,1.951854262,0.230337079,0.4868,0.764044944,0.363253266,0.747191011,26.7,0.764044944,34.3,0.629213483,20.16464288,0.179775281,8.008008008,0.814606742
Census Tract 4.04,1,4,7.936507937,0.106741573,0.435,0.735955056,14.6539028,0.769662921,7.00280112,0.235955056,4,0.275280899,2.714285714,0.039325843,0.21704918,0.348314607,29.09320728,0.550561798,26.39383754,0.516853933,29.69306723,0.685393258,23.69446779,0.528089888,10.19761905,0.494382022,4.099244876,0.382022472,72,0.786516854,10.51478642,0.966292135,0.4819,0.719101124,0.330952381,0.679775281,24.9,0.713483146,33.4,0.584269663,31.05315076,0.443820225,2.871870398,0.584269663
Census Tract 119.02,1,4,3.743489583,0.421348315,0.51,0.893258427,10.22855002,0.578651685,23.50260417,0.93258427,6.770833333,0.511235955,15.26692708,0.893258427,0.049029982,0.202247191,23.71875,0.45505618,30.25,0.623595506,30.59375,0.707865169,19.59375,0.43258427,25.4375,0.876404494,7.408975445,0.584269663,43.56261023,0.387640449,2.22972973,0.303370787,0.3637,0.146067416,0.252115885,0.505617978,19.9,0.606741573,36.9,0.730337079,44.08483454,0.679775281,2.135631323,0.511235955
Census Tract 5.03,1,5,1.183898974,0.926966292,0.336,0.365168539,31.99343724,0.971910112,20.87608524,0.904494382,2.249408051,0.117977528,25.88792423,0.983146067,0.488,0.533707865,34.34254144,0.691011236,33.64167324,0.685393258,6.65824783,0.050561798,25.93212313,0.584269663,15.06866614,0.730337079,16.60692951,0.780898876,67.05454545,0.702247191,5.448154657,0.741573034,0.6066,0.988764045,0.365035517,0.752808989,33.9,0.898876404,34.9,0.646067416,13.88190807,0.04494382,5.414273995,0.747191011
Census Tract 6,1,4,2.620087336,0.674157303,0.349,0.460674157,5.79029734,0.421348315,3.347889374,0.050561798,13.42066958,0.792134831,6.608442504,0.258426966,0.257018393,0.370786517,29.45228916,0.56741573,28.85122203,0.56741573,29.45228916,0.674157303,22.84055078,0.516853933,11.11974182,0.533707865,11.74668029,0.702247191,77.34753146,0.882022472,2.192242833,0.292134831,0.4797,0.707865169,0.248810939,0.494382022,18,0.533707865,29,0.426966292,43.39901825,0.674157303,10.06781429,0.876404494
Census Tract 7.03,1,5,5.268703899,0.235955056,0.347,0.43258427,24.41176471,0.95505618,21.39093783,0.915730337,4.425711275,0.308988764,13.59325606,0.825842697,0.385702411,0.443820225,37.43940991,0.747191011,37.83350896,0.735955056,35.0748156,0.780898876,27.19283456,0.617977528,20.49315068,0.820224719,8.065532451,0.606741573,79.30174564,0.91011236,2.820121951,0.353932584,0.504,0.842696629,0.260800843,0.550561798,16.3,0.488764045,37.7,0.752808989,22.98541466,0.241573034,8.62745098,0.831460674
Census Tract 7.04,1,4,3.556417717,0.438202247,0.304,0.235955056,17.85383904,0.865168539,6.627869382,0.207865169,4.991735537,0.365168539,7.504132231,0.342696629,0.633865248,0.674157303,36.26359922,0.713483146,36.64532132,0.724719101,32.44637825,0.747191011,26.3388247,0.601123596,19.84954905,0.803370787,14.31461811,0.741573034,57.35815603,0.573033708,3.273809524,0.415730337,0.5706,0.95505618,0.313719008,0.640449438,26.1,0.747191011,30.4,0.47752809,15.76672852,0.08988764,2.405180389,0.54494382
Census Tract 7.05,1,5,3.603603604,0.43258427,0.347,0.43258427,18.02265705,0.870786517,10.09009009,0.471910112,8.936936937,0.662921348,12.03603604,0.752808989,0.526810913,0.550561798,47.76594595,0.814606742,47.27351351,0.814606742,35.45513514,0.792134831,35.45513514,0.747191011,22.15945946,0.837078652,13.73471308,0.730337079,59.83066792,0.606741573,2.824207493,0.359550562,0.568,0.949438202,0.434594595,0.887640449,35.4,0.91011236,29.8,0.449438202,19.44946802,0.146067416,9.268795057,0.848314607
Census Tract 9.03,1,5,2.902092561,0.601123596,0.508,0.882022472,5.594002307,0.404494382,10.44753322,0.505617978,21.46021078,0.943820225,14.84649458,0.887640449,0.770622672,0.865168539,60.88439753,0.95505618,62.17981024,0.949438202,58.2935721,0.938202247,44.69173861,0.853932584,33.68073055,0.93258427,29.02700186,0.898876404,44.33209154,0.398876404,6.956237753,0.848314607,0.3593,0.123595506,0.543617998,0.960674157,38.8,0.938202247,44.8,0.898876404,27.99281302,0.359550562,9.284890427,0.853932584
Census Tract 9.04,1,5,2.214839424,0.747191011,0.525,0.915730337,17.67469172,0.842696629,7.862679956,0.314606742,24.6216316,0.960674157,17.6818014,0.938202247,0.404302261,0.460674157,60.20508062,0.943820225,60.83881831,0.93258427,59.57134293,0.95505618,43.09416297,0.848314607,34.85557299,0.938202247,29.8136646,0.921348315,66.6298952,0.679775281,6.796116505,0.820224719,0.4727,0.679775281,0.471056038,0.904494382,40.2,0.949438202,51.6,0.983146067,20.74946567,0.196629213,11.15678215,0.887640449
Census Tract 9.05,1,5,5.207100592,0.241573034,0.399,0.646067416,13.87096774,0.713483146,7.810650888,0.308988764,8.639053254,0.640449438,9.964497041,0.556179775,0.782539683,0.870786517,49.3860355,0.837078652,49.3860355,0.842696629,46.81384615,0.91011236,36.52508876,0.758426966,24.69301775,0.865168539,32.5095057,0.943820225,40,0.320224719,6.220285261,0.797752809,0.5754,0.966292135,0.350295858,0.719101124,30.1,0.837078652,30.2,0.466292135,15.24297156,0.073033708,11.29032258,0.893258427
Census Tract 13.01,1,5,3.770197487,0.41011236,0.546,0.949438202,12.77842907,0.696629213,11.79533214,0.584269663,25.10799136,0.966292135,8.441324694,0.404494382,0.876240514,0.949438202,52.43253487,0.876404494,49.08577732,0.837078652,44.62343393,0.904494382,39.04550469,0.808988764,29.56302498,0.898876404,28.3042394,0.893258427,46.64331582,0.43258427,5.211009174,0.707865169,0.3469,0.078651685,0.415226782,0.853932584,30.9,0.853932584,39.9,0.820224719,26.54837119,0.314606742,9.261430246,0.842696629
Census Tract 13.02,1,4,5.479452055,0.207865169,0.246,0.056179775,4.552238806,0.359550562,9.638854296,0.426966292,9.564134496,0.685393258,8.742216687,0.449438202,0.835243553,0.91011236,50.58779577,0.853932584,46.86027397,0.803370787,30.88518057,0.713483146,38.34022416,0.797752809,26.62515567,0.882022472,23.0990991,0.848314607,35.10028653,0.252808989,4.93767977,0.685393258,0.424,0.43258427,0.394520548,0.825842697,29.7,0.831460674,33.7,0.606741573,35.07644973,0.550561798,14.92537313,0.960674157
Census Tract 14.01,1,5,2.182611859,0.752808989,0.466,0.837078652,13.95348837,0.730337079,15.93306657,0.792134831,13.60494725,0.803370787,13.78683158,0.848314607,0.644899905,0.696629213,50.37596077,0.848314607,48.71521481,0.831460674,29.33984528,0.662921348,38.75073905,0.803370787,30.44700925,0.904494382,23.94957983,0.859550562,59.05624404,0.595505618,4.863112392,0.679775281,0.482,0.724719101,0.386720175,0.820224719,27.8,0.780898876,34.9,0.646067416,42.26695164,0.668539326,14.25682508,0.943820225
Census Tract 14.02,1,5,0.416493128,0.983146067,0.429,0.719101124,21,0.904494382,7.226155768,0.275280899,14.09829238,0.831460674,10.70387339,0.623595506,0.577326343,0.58988764,56.93781846,0.921348315,57.59227614,0.91011236,41.88529174,0.882022472,45.15758016,0.859550562,37.95854564,0.95505618,32.77074543,0.949438202,43.11926606,0.376404494,1.069730586,0.08988764,0.51,0.853932584,0.510289794,0.943820225,30.7,0.848314607,44.5,0.887640449,16.59581464,0.106741573,10.66666667,0.882022472
Census Tract 14.03,1,4,5.280140804,0.230337079,0.463,0.820224719,9.658725048,0.561797753,5.749486653,0.162921348,9.826928718,0.702247191,8.184218246,0.376404494,0.448172558,0.511235955,23.88138945,0.460674157,22.59744378,0.421348315,25.16533512,0.56741573,18.48881764,0.404494382,14.63698063,0.724719101,7.093488541,0.573033708,64.28999401,0.657303371,4.388843314,0.595505618,0.4742,0.685393258,0.26277158,0.556179775,18.1,0.54494382,42.4,0.865168539,47.96368932,0.758426966,0.386349002,0.269662921
Census Tract 15,1,5,6.953790938,0.140449438,0.376,0.578651685,12.81198003,0.702247191,7.424854195,0.292134831,14.31135038,0.837078652,12.15791835,0.764044944,0.649640862,0.702247191,59.35532725,0.938202247,56.98111416,0.904494382,59.35532725,0.949438202,53.41979452,0.938202247,14.24527854,0.691011236,29.76653696,0.915730337,54.50917797,0.528089888,5.284719377,0.713483146,0.4684,0.651685393,0.538833777,0.949438202,47.5,0.983146067,36.6,0.724719101,60.9108204,0.915730337,14.47587354,0.949438202
Census Tract 16.03,1,5,4.143646409,0.331460674,0.347,0.43258427,23.07692308,0.926966292,5.300414365,0.123595506,13.72582873,0.814606742,14.52002762,0.876404494,0.187478139,0.331460674,36.42244984,0.719101124,35.31873924,0.713483146,34.9508357,0.775280899,31.6397039,0.719101124,8.461781276,0.382022472,5.063291139,0.443820225,85.97411682,0.949438202,3.07580528,0.393258427,0.467,0.640449438,0.379453476,0.780898876,32.1,0.870786517,40.5,0.837078652,49.75573667,0.780898876,0,0
Census Tract 17.04,1,5,9.438202247,0.06741573,0.343,0.404494382,22.57336343,0.915730337,34.24719101,0.971910112,6.966292135,0.52247191,21.21348315,0.960674157,0.410300926,0.466292135,29.16606742,0.561797753,25.92539326,0.505617978,28.57685393,0.640449438,23.86314607,0.533707865,8.248988764,0.359550562,1.031434185,0.168539326,67.30324074,0.719101124,0,0,0.5632,0.943820225,0.362696629,0.741573034,32.4,0.876404494,32.2,0.533707865,58.48227916,0.887640449,4.364183597,0.691011236
Census Tract 153,1,4,1.761892776,0.853932584,0.34,0.393258427,9.183155758,0.54494382,11.20060408,0.550561798,7.752328215,0.595505618,12.08155047,0.758426966,0.169045495,0.308988764,21.82607601,0.387640449,21.3410521,0.398876404,16.24830103,0.365168539,19.64346841,0.438202247,9.457966272,0.443820225,1.803729746,0.224719101,68.28724353,0.730337079,9.728656519,0.943820225,0.4067,0.320224719,0.253209162,0.511235955,17.4,0.516853933,38.4,0.769662921,25.45153487,0.292134831,5.530187722,0.758426966
Census Tract 17.06,1,4,15.81395349,0.016853933,0.329,0.303370787,40.09628611,0.983146067,8,0.337078652,5.906976744,0.443820225,22.97674419,0.971910112,0.262068966,0.376404494,33.88976744,0.679775281,33.19813953,0.668539326,32.50651163,0.752808989,27.66511628,0.629213483,9.336976744,0.426966292,5.973333333,0.52247191,90.97178683,0.971910112,7.479387515,0.893258427,0.471,0.662921348,0.312093023,0.634831461,28.2,0.797752809,30.9,0.505617978,89.99812105,0.994382022,0,0
Census Tract 18,1,5,4.201680672,0.308988764,0.419,0.702247191,24.3307555,0.943820225,11.04441777,0.539325843,8.853850819,0.651685393,16.25227411,0.926966292,0.335548173,0.41011236,43.98150394,0.792134831,39.49359538,0.747191011,43.53271309,0.893258427,34.55689595,0.735955056,15.70767998,0.741573034,12.51368114,0.719101124,69.213732,0.758426966,5.650764243,0.747191011,0.5177,0.887640449,0.433596119,0.882022472,33.3,0.887640449,36.2,0.707865169,48.75402212,0.769662921,1.725163593,0.47752809
Census Tract 19.01,1,5,3.996574365,0.365168539,0.44,0.769662921,28.29771555,0.960674157,9.249214959,0.415730337,17.44219241,0.887640449,11.39023694,0.696629213,0.334751773,0.404494382,59.13396865,0.93258427,53.64731176,0.859550562,57.30508302,0.93258427,45.72214071,0.865168539,23.16588462,0.859550562,18.53616284,0.797752809,78.58156028,0.898876404,12.80342694,0.988764045,0.5463,0.926966292,0.484743811,0.921348315,40.3,0.95505618,35.7,0.685393258,40.64283533,0.651685393,11.49594694,0.898876404
Census Tract 156,1,5,3.090305597,0.550561798,0.566,0.971910112,7.377706496,0.5,10.09499828,0.483146067,24.02426462,0.95505618,2.998740987,0.050561798,0.229471316,0.353932584,54.782019,0.898876404,55.41169738,0.893258427,50.37427034,0.921348315,42.18845141,0.837078652,39.6697379,0.971910112,26.06563561,0.876404494,59.0176228,0.58988764,6.028667791,0.786516854,0.4119,0.348314607,0.3862882,0.814606742,25.9,0.741573034,23.4,0.247191011,55.16828335,0.853932584,8.740978348,0.837078652
Census Tract 157,1,4,3.94282898,0.382022472,0.331,0.331460674,10.27739882,0.584269663,12.61705274,0.634831461,17.80634105,0.898876404,16.55526992,0.93258427,0.474887892,0.528089888,40.71222531,0.769662921,41.65902125,0.775280899,35.50484765,0.797752809,29.35067406,0.662921348,32.66445984,0.921348315,25.27989252,0.870786517,62.24215247,0.634831461,7.326120556,0.882022472,0.3986,0.280898876,0.371142906,0.758426966,20.7,0.623595506,22.9,0.230337079,36.29424337,0.578651685,5.275125057,0.735955056
Census Tract 26.04,1,4,7.227671657,0.123595506,0.274,0.112359551,55.53784861,0.994382022,15.48786784,0.769662921,6.453278265,0.488764045,25.34847703,0.97752809,0.611441308,0.646067416,37.36344863,0.741573034,33.55085183,0.674157303,36.98218895,0.825842697,31.26329375,0.713483146,9.912751678,0.471910112,5.247981546,0.460674157,98.88558692,0.988764045,7.448377581,0.887640449,0.5318,0.91011236,0.425400103,0.870786517,36,0.915730337,47.3,0.93258427,28.19832304,0.370786517,2.310756972,0.533707865
Census Tract 27.04,1,5,3.271537623,0.505617978,0.329,0.303370787,33.53174603,0.97752809,13.57688113,0.696629213,10.95965104,0.741573034,31.40676118,0.994382022,0.600369458,0.634831461,32.44792803,0.651685393,29.43729553,0.58988764,31.44438386,0.730337079,26.76117775,0.606741573,10.03544166,0.483146067,3.51758794,0.353932584,93.22660099,0.97752809,3.994393833,0.556179775,0.4242,0.438202247,0.334242094,0.696629213,22.5,0.679775281,35.8,0.691011236,25.90952862,0.303370787,2.248677249,0.52247191
Census Tract 31.02,1,4,4.086398132,0.348314607,0.284,0.151685393,18.42105263,0.882022472,11.67542323,0.578651685,7.270448135,0.533707865,11.09370103,0.679775281,0.457836847,0.52247191,29.16171211,0.556179775,27.01295438,0.533707865,26.70598899,0.595505618,25.78509282,0.573033708,7.674134766,0.320224719,9.284079765,0.640449438,77.91017415,0.887640449,3.989478299,0.550561798,0.5205,0.893258427,0.329050454,0.668539326,23.6,0.696629213,33.3,0.578651685,63.45444724,0.943820225,1.857585139,0.494382022
Census Tract 35.01,1,5,11.70117012,0.04494382,0.409,0.679775281,9.610705596,0.556179775,10.0210021,0.460674157,19.80018165,0.915730337,8.749621556,0.460674157,0.719499479,0.820224719,60.48580717,0.949438202,58.65290392,0.921348315,60.48580717,0.966292135,56.20903293,0.949438202,12.83032273,0.612359551,36.32596685,0.960674157,68.82168926,0.752808989,3.5975267,0.471910112,0.3997,0.292134831,0.40555386,0.842696629,28.7,0.814606742,35.4,0.668539326,56.84759377,0.876404494,17.63990268,0.97752809
